GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1903150,Adel-De Soto-Minburn ,B25012_014,51,43,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903220,Akron-Westfield ,B25012_001,1313,93,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903220,Akron-Westfield ,B25012_005,37,17,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903220,Akron-Westfield ,B25012_006,115,43,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903220,Akron-Westfield ,B25012_013,28,19,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903220,Akron-Westfield ,B25012_014,0,99,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903240,Albert City-Truesdale ,B25012_001,649,54,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903240,Albert City-Truesdale ,B25012_005,25,16,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903240,Albert City-Truesdale ,B25012_006,19,15,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903240,Albert City-Truesdale ,B25012_013,5,7,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903240,Albert City-Truesdale ,B25012_014,2,5,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903270,Albia ,B25012_001,3162,167,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903270,Albia ,B25012_005,193,91,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903270,Albia ,B25012_006,126,52,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903270,Albia ,B25012_013,64,55,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903270,Albia ,B25012_014,66,44,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903300,Alburnett ,B25012_001,1319,109,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903300,Alburnett ,B25012_005,47,41,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903300,Alburnett ,B25012_006,59,36,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903300,Alburnett ,B25012_013,46,55,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903300,Alburnett ,B25012_014,19,20,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903330,Alden ,B25012_001,683,68,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903330,Alden ,B25012_005,46,22,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903330,Alden ,B25012_006,28,17,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903330,Alden ,B25012_013,11,17,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903330,Alden ,B25012_014,11,10,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903360,Algona ,B25012_001,3999,178,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903360,Algona ,B25012_005,169,67,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903360,Algona ,B25012_006,116,46,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903360,Algona ,B25012_013,36,33,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903360,Algona ,B25012_014,51,40,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903390,Allamakee ,B25012_001,3705,167,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903390,Allamakee ,B25012_005,159,68,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903390,Allamakee ,B25012_006,156,60,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903390,Allamakee ,B25012_013,6,11,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1903390,Allamakee ,B25012_014,51,37,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1903450,Allison-Bristow ,B25012_001,757,68,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1903450,Allison-Bristow ,B25012_005,32,19,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
