"","name","year","unemprate"
"353","Cerro Gordo",2000,2.95
"354","Cerro Gordo",2001,3.44166666666667
"355","Cerro Gordo",2002,4.11666666666667
"356","Cerro Gordo",2003,4.24166666666667
"357","Cerro Gordo",2004,4.40833333333333
"358","Cerro Gordo",2005,4.39166666666667
"359","Cerro Gordo",2006,3.89166666666667
"360","Cerro Gordo",2007,3.90833333333333
"361","Cerro Gordo",2008,4.725
"362","Cerro Gordo",2009,6.95
"363","Cerro Gordo",2010,6.975
"364","Cerro Gordo",2011,6.23333333333333
"365","Cerro Gordo",2012,5.6
"366","Cerro Gordo",2013,5.40833333333333
"367","Cerro Gordo",2014,4.61666666666667
"368","Cerro Gordo",2015,3.9
"369","Cerro Gordo",2016,3.55833333333333
"370","Cerro Gordo",2017,3.025
"371","Cerro Gordo",2018,2.675
"372","Cerro Gordo",2019,2.75833333333333
"373","Cerro Gordo",2020,5.19166666666667
"374","Cerro Gordo",2021,4.48333333333333
"375","Cherokee",2000,2.38333333333333
"376","Cherokee",2001,2.96666666666667
"377","Cherokee",2002,4.06666666666667
"378","Cherokee",2003,4.15833333333333
"379","Cherokee",2004,4.39166666666667
"380","Cherokee",2005,4.69166666666667
"381","Cherokee",2006,4.15833333333333
"382","Cherokee",2007,3.625
"383","Cherokee",2008,3.48333333333333
"384","Cherokee",2009,4.58333333333333
"385","Cherokee",2010,4.575
"386","Cherokee",2011,4.825
"387","Cherokee",2012,4.375
"388","Cherokee",2013,4.30833333333333
"389","Cherokee",2014,5.08333333333333
"390","Cherokee",2015,5.11666666666667
"391","Cherokee",2016,3.59166666666667
"392","Cherokee",2017,2.51666666666667
"393","Cherokee",2018,2.20833333333333
"394","Cherokee",2019,2.50833333333333
"395","Cherokee",2020,3.775
"396","Cherokee",2021,3.56666666666667
"397","Chickasaw",2000,6.45
"398","Chickasaw",2001,6.21666666666667
"399","Chickasaw",2002,5.36666666666667
"400","Chickasaw",2003,6.05
"401","Chickasaw",2004,5.98333333333333
"402","Chickasaw",2005,5.3
"403","Chickasaw",2006,4.50833333333333
"404","Chickasaw",2007,4.175
"405","Chickasaw",2008,4.86666666666667
"406","Chickasaw",2009,8.85833333333333
"407","Chickasaw",2010,7.575
"408","Chickasaw",2011,6.36666666666667
"409","Chickasaw",2012,5.225
"410","Chickasaw",2013,5
"411","Chickasaw",2014,4.75
"412","Chickasaw",2015,4.46666666666667
"413","Chickasaw",2016,4.39166666666667
"414","Chickasaw",2017,3.18333333333333
"415","Chickasaw",2018,2.78333333333333
"416","Chickasaw",2019,2.9
"417","Chickasaw",2020,4.65833333333333
"418","Chickasaw",2021,3.88333333333333
"419","Clarke",2000,3.2
"420","Clarke",2001,4.05
"421","Clarke",2002,5.26666666666667
"422","Clarke",2003,8.01666666666667
"423","Clarke",2004,6.4
"424","Clarke",2005,5.20833333333333
"425","Clarke",2006,4.05
"426","Clarke",2007,4.15
"427","Clarke",2008,4.58333333333333
"428","Clarke",2009,7.61666666666667
"429","Clarke",2010,7.80833333333333
"430","Clarke",2011,7.11666666666667
"431","Clarke",2012,6.04166666666667
"432","Clarke",2013,5.5
"433","Clarke",2014,4.46666666666667
"434","Clarke",2015,4.06666666666667
"435","Clarke",2016,3.34166666666667
"436","Clarke",2017,3.10833333333333
"437","Clarke",2018,2.90833333333333
"438","Clarke",2019,2.91666666666667
"439","Clarke",2020,5.4
"440","Clarke",2021,4.81666666666667
"441","Clay",2000,2.525
"442","Clay",2001,3.13333333333333
"443","Clay",2002,3.80833333333333
"444","Clay",2003,4.11666666666667
"445","Clay",2004,3.98333333333333
"446","Clay",2005,3.98333333333333
"447","Clay",2006,3.3
"448","Clay",2007,3.11666666666667
"449","Clay",2008,3.40833333333333
"450","Clay",2009,6.8
"451","Clay",2010,5.975
"452","Clay",2011,5.54166666666667
"453","Clay",2012,5.05833333333333
"454","Clay",2013,4.51666666666667
"455","Clay",2014,4.15833333333333
"456","Clay",2015,3.58333333333333
"457","Clay",2016,3.825
"458","Clay",2017,3.71666666666667
"459","Clay",2018,3.28333333333333
"460","Clay",2019,2.78333333333333
"461","Clay",2020,4.50833333333333
"462","Clay",2021,3.96666666666667
"463","Clayton",2000,3.49166666666667
"464","Clayton",2001,4.64166666666667
"465","Clayton",2002,5.63333333333333
"466","Clayton",2003,6.075
"467","Clayton",2004,6.875
"468","Clayton",2005,6.55833333333333
"469","Clayton",2006,5.01666666666667
"470","Clayton",2007,4.83333333333333
"471","Clayton",2008,5.45833333333333
"472","Clayton",2009,8.56666666666667
"473","Clayton",2010,7.26666666666667
"474","Clayton",2011,6.275
"475","Clayton",2012,5.71666666666667
"476","Clayton",2013,5.65833333333333
"477","Clayton",2014,5
"478","Clayton",2015,4.10833333333333
"479","Clayton",2016,4.21666666666667
"480","Clayton",2017,3.95
"481","Clayton",2018,3.275
"482","Clayton",2019,3.675
"483","Clayton",2020,5.66666666666667
"484","Clayton",2021,5.8
"485","Clinton",2000,3.48333333333333
"486","Clinton",2001,4.45
"487","Clinton",2002,5.30833333333333
"488","Clinton",2003,5.4
"489","Clinton",2004,5.23333333333333
"490","Clinton",2005,4.775
"491","Clinton",2006,3.9
"492","Clinton",2007,3.74166666666667
"493","Clinton",2008,4.2
"494","Clinton",2009,7.25833333333333
"495","Clinton",2010,7.16666666666667
"496","Clinton",2011,6.75
"497","Clinton",2012,6.175
"498","Clinton",2013,5.76666666666667
"499","Clinton",2014,5.25
"500","Clinton",2015,4.94166666666667
"501","Clinton",2016,4.9
"502","Clinton",2017,4.03333333333333
"503","Clinton",2018,3.28333333333333
"504","Clinton",2019,3.78333333333333
"505","Clinton",2020,6.725
"506","Clinton",2021,5.65
"507","Crawford",2000,2.50833333333333
"508","Crawford",2001,3.1
"509","Crawford",2002,3.81666666666667
"510","Crawford",2003,3.825
"511","Crawford",2004,3.68333333333333
"512","Crawford",2005,3.86666666666667
"513","Crawford",2006,3.03333333333333
"514","Crawford",2007,3.30833333333333
"515","Crawford",2008,3.3
"516","Crawford",2009,4.60833333333333
"517","Crawford",2010,4.78333333333333
"518","Crawford",2011,4.825
"519","Crawford",2012,4.48333333333333
"520","Crawford",2013,4.35833333333333
"521","Crawford",2014,4.05833333333333
"522","Crawford",2015,4.16666666666667
"523","Crawford",2016,5.425
"524","Crawford",2017,4.09166666666667
"525","Crawford",2018,3.49166666666667
"526","Crawford",2019,3.56666666666667
"527","Crawford",2020,5.24166666666667
"528","Crawford",2021,5.43333333333333
"529","Dallas",2000,1.94166666666667
"530","Dallas",2001,2.35
"531","Dallas",2002,2.89166666666667
"532","Dallas",2003,3.3
"533","Dallas",2004,3.43333333333333
"534","Dallas",2005,3.4
"535","Dallas",2006,2.825
"536","Dallas",2007,2.85
"537","Dallas",2008,3.24166666666667
"538","Dallas",2009,4.925
"539","Dallas",2010,4.64166666666667
"540","Dallas",2011,4.34166666666667
"541","Dallas",2012,3.94166666666667
"542","Dallas",2013,3.61666666666667
"543","Dallas",2014,3.28333333333333
"544","Dallas",2015,2.85833333333333
"545","Dallas",2016,2.60833333333333
"546","Dallas",2017,2.125
"547","Dallas",2018,1.76666666666667
"548","Dallas",2019,1.95833333333333
"549","Dallas",2020,3.63333333333333
"550","Dallas",2021,3.05
"551","Davis",2000,3.325
"552","Davis",2001,4.06666666666667
"553","Davis",2002,4.83333333333333
"554","Davis",2003,4.84166666666667
"555","Davis",2004,4.94166666666667
"556","Davis",2005,5.38333333333333
"557","Davis",2006,4.64166666666667
"558","Davis",2007,4.525
"559","Davis",2008,4.975
"560","Davis",2009,9.14166666666667
"561","Davis",2010,7.31666666666667
"562","Davis",2011,6.225
"563","Davis",2012,5.78333333333333
"564","Davis",2013,5.51666666666667
"565","Davis",2014,5.1
"566","Davis",2015,4.41666666666667
"567","Davis",2016,4.21666666666667
"568","Davis",2017,3.31666666666667
"569","Davis",2018,2.75
"570","Davis",2019,2.86666666666667
"571","Davis",2020,4.025
"572","Davis",2021,3.51666666666667
"573","Decatur",2000,3.4
"574","Decatur",2001,3.40833333333333
"575","Decatur",2002,4.325
"576","Decatur",2003,5.75
"577","Decatur",2004,5.24166666666667
"578","Decatur",2005,4.9
"579","Decatur",2006,4.00833333333333
"580","Decatur",2007,4.075
"581","Decatur",2008,3.79166666666667
