GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1904950,Eddyville-Blakesburg ,B01001_003,142,60,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904950,Eddyville-Blakesburg ,B01001_027,138,81,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905070,Bondurant-Farrar ,B01001_003,181,64,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905070,Bondurant-Farrar ,B01001_027,225,148,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905130,Boone ,B01001_003,421,91,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905130,Boone ,B01001_027,506,77,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905190,Boyden-Hull ,B01001_003,217,63,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905190,Boyden-Hull ,B01001_027,190,55,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905430,West Hancock ,B01001_003,47,37,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905430,West Hancock ,B01001_027,118,34,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905490,Brooklyn-Guernsey-Malcom ,B01001_003,133,44,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905490,Brooklyn-Guernsey-Malcom ,B01001_027,85,42,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905750,North Iowa ,B01001_003,89,48,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905750,North Iowa ,B01001_027,106,47,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905790,Burlington ,B01001_003,1036,167,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905790,Burlington ,B01001_027,935,120,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905940,C and M ,B01001_003,46,21,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905940,C and M ,B01001_027,54,30,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1905970,Cal ,B01001_003,48,32,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1905970,Cal ,B01001_027,134,67,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906000,Calamus-Wheatland ,B01001_003,105,50,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906000,Calamus-Wheatland ,B01001_027,89,39,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906060,Camanche ,B01001_003,80,60,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906060,Camanche ,B01001_027,154,79,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906240,Cardinal ,B01001_003,123,56,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906240,Cardinal ,B01001_027,168,60,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906270,Carlisle ,B01001_003,373,164,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906270,Carlisle ,B01001_027,253,100,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1906330,Carroll ,B01001_003,454,54,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1906330,Carroll ,B01001_027,491,57,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
