"","name","year","child_abuse_under_3","child_abuse_3_and_4","child_abuse_5"
"233","Franklin",2017,387.28323699422,720.430107526882,1440.86021505376
"234","Fremont",2017,355.371900826446,511.904761904762,1622.64150943396
"235","Greene",2017,452.768729641694,803.468208092485,1376.23762376238
"236","Grundy",2017,218.823529411765,349.624060150376,375
"237","Guthrie",2017,438.271604938272,617.391304347826,1314.81481481481
"238","Hamilton",2017,291.902071563088,392.405063291139,1091.54929577465
"239","Hancock",2017,218.666666666667,448.087431693989,611.940298507463
"240","Hardin",2017,452.127659574468,873.287671232877,2256.63716814159
"241","Harrison",2017,357.96766743649,434.173669467787,906.432748538012
"242","Henry",2017,298.295454545455,472.972972972973,1065.98984771574
"243","Howard",2017,313.559322033898,458.677685950413,776.223776223776
"244","Humboldt",2017,296.296296296296,509.803921568627,1118.27956989247
"245","Ida",2017,292.857142857143,594.202898550725,803.921568627451
"246","Iowa",2017,269.724770642202,347.517730496454,508.650519031142
"247","Jackson",2017,319.180087847731,501.149425287356,749.14089347079
"248","Jasper",2017,337.480559875583,506.417736289382,1151.19363395225
"249","Jefferson",2017,417.279411764706,718.354430379747,1401.23456790123
"250","Johnson",2017,167.026249550521,280.241327300151,498.658078368223
"251","Jones",2017,440,484,1085.20179372197
"252","Keokuk",2017,395.348837209302,501.845018450184,795.321637426901
"253","Kossuth",2017,218.503937007874,311.797752808989,1000
"254","Lee",2017,564.957264957265,745.208568207441,1430.73593073593
"255","Linn",2017,336.011512171723,499.821619693186,946.941534302129
"256","Louisa",2017,296.650717703349,659.574468085106,843.537414965986
"257","Lucas",2017,405.063291139241,369.230769230769,446.511627906977
"258","Lyon",2017,178.571428571429,283.582089552239,527.777777777778
"259","Madison",2017,496.083550913838,337.477797513321,1158.53658536585
"260","Mahaska",2017,423.376623376623,516.640253565769,1055.01618122977
"261","Marion",2017,271.985494106981,342.465753424658,750
"262","Marshall",2017,368.421052631579,605.513307984791,1206.43939393939
"263","Mills",2017,501.449275362319,360.416666666667,1067.9012345679
"264","Mitchell",2017,181.318681318681,264,589.285714285714
"265","Monona",2017,350.553505535055,597.48427672956,979.381443298969
"266","Monroe",2017,254.545454545455,406.976744186047,1014.49275362319
"267","Montgomery",2017,462.162162162162,763.392857142857,1988.37209302326
"268","Muscatine",2017,440.026507620941,527.402700555997,1291.82879377432
"269","OBrien",2017,425.414364640884,804.878048780488,1604.16666666667
"270","Osceola",2017,295.238095238095,336.95652173913,639.175257731959
"271","Page",2017,525.531914893617,674.863387978142,1857.14285714286
"272","Palo Alto",2017,292.096219931271,332.03125,505.952380952381
"273","Plymouth",2017,287.396937573616,343.661971830986,853.146853146853
"274","Pocahontas",2017,417.355371900826,765.151515151515,935.185185185185
"275","Polk",2017,277.656405163853,412.298164122982,847.786537295331
"276","Pottawattamie",2017,450.238295486403,664.735099337748,1138.19985825656
"277","Poweshiek",2017,349.514563106796,699.029126213592,1301.20481927711
"278","Ringgold",2017,300,564.356435643564,670.588235294118
"279","Sac",2017,245.714285714286,425.742574257426,716.666666666667
"280","Scott",2017,354.523594830177,518.689533861038,1018.12688821752
"281","Shelby",2017,405.172413793103,500,742.105263157895
"282","Sioux",2017,142.037302725968,164.862614487927,417.721518987342
"283","Story",2017,205.128205128205,353.510895883777,702.767749699158
"284","Tama",2017,444.976076555024,648.837209302326,1603.44827586207
"285","Taylor",2017,462.42774566474,490.79754601227,1311.47540983607
"286","Union",2017,493.478260869565,908,1816
"287","Van Buren",2017,450.892857142857,437.229437229437,1422.53521126761
"288","Wapello",2017,390.322580645161,969.551282051282,1320.96069868996
"289","Warren",2017,239.247311827957,417.057169634489,632.102272727273
"290","Washington",2017,240.860215053763,393.673110720562,896
"291","Wayne",2017,288.808664259928,446.927374301676,1081.08108108108
"292","Webster",2017,416.097190584662,658.653846153846,1037.87878787879
"293","Winnebago",2017,340,392.307692307692,557.377049180328
"294","Winneshiek",2017,163.873370577281,229.76501305483,338.461538461538
"295","Woodbury",2017,407.960199004975,594.398682042834,1183.72703412073
"296","Worth",2017,327.354260089686,368.686868686869,752.577319587629
"297","Wright",2017,314.606741573034,861.538461538462,898.395721925134
"298","Adair",2016,347.826086956522,455.696202531646,986.301369863014
"299","Adams",2016,350,378.378378378378,456.521739130435
"300","Allamakee",2016,220.907297830375,309.39226519337,727.272727272727
"301","Appanoose",2016,424.892703862661,704.626334519573,632.58785942492
"302","Audubon",2016,273.743016759777,415.254237288136,731.343283582089
"303","Benton",2016,214.867617107943,369.527145359019,694.078947368421
"304","Black Hawk",2016,290.814279983955,419.560185185185,966.022651565623
"305","Boone",2016,290.217391304348,493.530499075786,717.741935483871
"306","Bremer",2016,156.291390728477,187.898089171975,334.277620396601
"307","Buchanan",2016,149.342891278375,216.262975778547,338.753387533875
"308","Buena Vista",2016,244.283995186522,281.944444444444,576.704545454545
"309","Butler",2016,272.506082725061,263.529411764706,497.777777777778
"310","Calhoun",2016,284.574468085106,509.52380952381,914.529914529915
"311","Carroll",2016,226.027397260274,278.246205733558,525.477707006369
"312","Cass",2016,374.149659863946,501.519756838906,1309.52380952381
"313","Cedar",2016,283.054003724395,350.230414746544,899.408284023669
"314","Cerro Gordo",2016,370,531.827515400411,1182.64840182648
